h,B,R_weight,B_eff,W_max_share,placebo_S_mean,placebo_S_median,placebo_S_max,abstain
1,59,0.0894243087921024,15.41761608724693,0.0982063431470251,0.00028297229258346916,0.0002412473934249,0.0015494545915186,False
2,58,0.1666182480812139,8.470366342782816,0.1999302812877658,0.0005119613340116621,0.0004362358674705,0.0026966413394966,False
3,57,0.2970410883987754,3.313926779237919,0.4225582512670118,0.0006598212289625742,0.0005275433017863,0.002964229507794,False
4,56,0.5,1.0,1.0,0.0007702794546991693,0.0006185694265098999,0.0031645481026884,True
5,55,0.4963984068075225,1.0290156852169927,0.9856966568765366,0.0008403419344267069,0.0007015759328199,0.0032439612309064,True
6,54,0.4999999767583231,1.000000185933423,0.999999907033297,0.0009089954965687348,0.00074035960124555,0.0032907055925978,True
7,53,0.4999999999999995,1.000000000000003,0.9999999999999984,0.0009564313756962871,0.0007890895596221,0.0033637147805427,True
8,52,0.5,1.0,1.0,0.000993938378720466,0.0007006554584147999,0.0034109064131504,True
9,51,0.5,1.0,1.0,0.0010269734684146608,0.0007315868292596,0.0033320779960172,True
10,50,0.5,1.0,1.0,0.0010583016304335396,0.00072489961732905,0.0033696458235995,True
11,49,0.5,1.0,1.0,0.0011006390571320036,0.0008203733115448,0.0032956432314117,True
12,48,0.5,1.0,1.0,0.0011477146284458479,0.0010143158209932,0.0033056617960595,True
