h,B,q_w,enbpi_hw,R_weight,B_eff,W_max_share,linst_hw
1,59,0.0005737395362831769,0.0004908844995147588,0.0894243087921024,15.41761608724693,0.09820634314702516,0.0007940904047458509
2,58,0.0009024222678889584,0.0008279907716506894,0.16661824808121398,8.470366342782816,0.19993028128776585,0.001122780651053572
3,57,0.0008798544675248086,0.0010856927597973915,0.2970410883987754,3.313926779237919,0.4225582512670118,0.0013748348598192845
4,56,0.0011736748053313845,0.00134839808239654,0.5,1.0,1.0,0.0015871935950267715
5,55,0.001372094204175547,0.001505593823018137,0.4963984068075225,1.0290156852169927,0.9856966568765366,0.0017741687270332843
6,54,0.0016199380868345825,0.0019046729290684544,0.49999997675832314,1.0000001859334233,0.999999907033297,0.0019431018541820888
7,53,0.0015074631856651765,0.0018587931381578995,0.49999999999999956,1.000000000000003,0.9999999999999984,0.0020983551585109267
8,52,0.0014181931129848262,0.0019801640212952104,0.5,1.0,1.0,0.0022427714484810923
9,51,0.0015334116745994875,0.0020722629191513176,0.5,1.0,1.0,0.00237832576480898
10,50,0.0014475679044438014,0.00212569607619272,0.5,1.0,1.0,0.002506456427388942
11,49,0.0013802832579862048,0.0022676329171669343,0.5,1.0,1.0,0.0026282494815282184
12,48,0.001198936988732805,0.0022986067478990993,0.5,1.0,1.0,0.002744548855086275
