h,month,n_starting_cohorts,n_cohorts_present,realized_excl_fb
1,2020-01,62,62,0.003089563677969927
2,2020-02,62,62,0.0030400841642416396
3,2020-03,62,62,0.0028001967635511178
4,2020-04,62,62,0.0028618642478391468
5,2020-05,62,62,0.002700006120551444
6,2020-06,62,62,0.0028037167614527706
7,2020-07,62,62,0.002836738922014507
8,2020-08,62,62,0.0027783888907254215
9,2020-09,62,62,0.002948707727650925
10,2020-10,62,62,0.0029100741218346243
11,2020-11,62,62,0.0031848666590809397
12,2020-12,62,62,0.003179962188852879
