origin,h,S,log_w
2015-01,1,0.00024019585437560012,-79.0462499169955
2015-01,2,0.0006994791163222602,-151.3730591311118
2015-01,3,0.0009422958535445485,-169.7460825840533
2015-01,4,0.001306441016050982,-1748.8036017325762
2015-01,5,0.0014213117973882333,-2779.411578734579
2015-01,6,0.0016199380868345825,-3358.8932838796572
2015-01,7,0.0015074631856651765,-3804.3199255572235
2015-01,8,0.0014181931129848262,-3997.57943162268
2015-01,9,0.0015334116745994875,-4136.589863687076
2015-01,10,0.0014475679044438014,-4200.1410729792215
2015-01,11,0.0013802832579862048,-4244.966291784037
2015-01,12,0.001198936988732805,-4295.018951663591
2015-02,1,0.00045433103116592627,-65.29355505843871
2015-02,2,0.0006967983361853038,-130.8548094909067
2015-02,3,0.0010584311382271089,-148.6003309857517
2015-02,4,0.0011736748053313845,-1660.405791923851
2015-02,5,0.001372094204175547,-2775.178723372337
2015-02,6,0.0012483103865109507,-3375.0843082273814
2015-02,7,0.0011599618398804561,-3838.4398297438447
2015-02,8,0.0012603633497215022,-4043.806118050146
2015-02,9,0.001177799302928455,-4182.691761806298
2015-02,10,0.0011130193413162563,-4239.602204625039
2015-02,11,0.000911675641879918,-4289.654864504593
2015-02,12,0.0013084707159032056,-4353.118699752755
2015-03,1,0.00024258061504674362,-58.88408210740343
2015-03,2,0.000602865358056922,-123.81783458177493
2015-03,3,0.0007196499422775938,-148.37631863371433
2015-03,4,0.0009190912587339062,-1761.4386618877243
2015-03,5,0.0007998032197530629,-2904.4692733196644
2015-03,6,0.0007172496079459623,-3525.1523926585105
2015-03,7,0.0007938644663948499,-4007.0241693668536
2015-03,8,0.0006817665138943441,-4212.2656693649105
2015-03,9,0.0006218474864645076,-4341.30581017214
2015-03,10,0.00042743018773741363,-4404.155857726845
2015-03,11,0.000804729949733152,-4467.619692975007
2015-03,12,0.001302260740211501,-4524.551694020667
2015-04,1,0.0003572319305896691,-58.25658014930695
2015-04,2,0.00047563342223579455,-136.4127681318081
2015-04,3,0.000674753151074247,-151.13060334837988
2015-04,4,0.0005621606519938399,-1798.1479358756528
2015-04,5,0.0004671479918330005,-2969.7898820648816
2015-04,6,0.0005435867602475927,-3611.837911240512
2015-04,7,0.00042784966211879653,-4093.584899640611
2015-04,8,0.00036229987206298775,-4286.844405706068
2015-04,9,0.00017403876186836836,-4425.028887724779
2015-04,10,0.0005387915066825053,-4502.714437970545
2015-04,11,0.001019050754704329,-4559.6464390162055
2015-04,12,0.0012043544243838973,-4610.4002606332
2015-05,1,0.00011954213436224902,-70.76685199621045
2015-05,2,0.00031725523367745825,-129.46818171679104
2015-05,3,0.00021038450871254354,-141.10849582286625
2015-05,4,0.00011601720275296844,-1822.4344723972374
2015-05,5,0.00018439673479790641,-3023.2751286967386
2015-05,6,8.525197789617002e-05,-3665.1983695641256
2015-05,7,9.421592342916812e-06,-4128.553891080589
2015-05,8,0.00018988697539944546,-4333.094229341206
2015-05,9,0.00016276763095091767,-4492.5236870020135
2015-05,10,0.0006376399380164221,-4562.9652393840515
2015-05,11,0.0008203733115448118,-4613.719061001046
2015-05,12,0.0010671207854429342,-4657.006166098951
2015-06,1,0.00019790110363969438,-52.380239226129106
2015-06,2,9.817345765740851e-05,-104.79931136069547
2015-06,3,5.1370353622084974e-06,-113.71575913010983
2015-06,4,5.9163119090877014e-05,-1829.9377551045625
2015-06,5,6.237787236010144e-05,-3030.65362309582
2015-06,6,0.0001490479869957692,-3651.336742434666
2015-06,7,0.00033705290185894257,-4132.382569097325
2015-06,8,6.502794952647356e-06,-4362.440864967395
2015-06,9,0.00046091385849852257,-4511.421588288957
2015-06,10,0.0006397142103276993,-4574.972797581102
2015-06,11,0.0008745753766222827,-4618.259902679008
2015-06,12,0.000830677582407716,-4681.723737927169
2015-07,1,9.453503281122745e-05,-46.45406347072797
2015-07,2,0.0001836588874898088,-92.94453279311584
2015-07,3,0.00014334812239425246,-99.72448957885177
2015-07,4,0.0002848967687765821,-1815.8216972450607
2015-07,5,0.00041688295408386956,-2987.4636434342897
2015-07,6,0.0006155588457328227,-3628.6857225642366
2015-07,7,0.0002797011231403853,-4148.068452738419
2015-07,8,0.0001593665611314011,-4365.541523285565
2015-07,9,0.0003231952507743354,-4504.4271670417165
2015-07,10,0.0005445024191224612,-4559.799496153548
2015-07,11,0.0004967787658057745,-4623.263331401709
2015-07,12,0.0004671092819813049,-4680.081546062912
2015-08,1,8.506871210173413e-05,-40.88154248916255
2015-08,2,4.431055628738821e-05,-82.03078435235432
2015-08,3,0.0001795352328624964,-88.68595282984651
2015-08,4,0.000315353412892027,-1770.0119294042177
2015-08,5,0.0005692725889268769,-2970.026635658035
2015-08,6,0.00027422815485507283,-3655.2829275893137
2015-08,7,0.0001583571836745925,-4155.6709594895365
2015-08,8,0.0003118980074967078,-4360.912459487594
2015-08,9,0.0005049036206685184,-4488.414486587913
2015-08,10,0.0004554566667255653,-4566.100036833679
2015-08,11,0.00042772592985306467,-4622.918251494882
2015-08,12,0.000636057211937751,-4686.382086743043
2015-09,1,3.62226810415589e-05,-35.896396860579515
2015-09,2,9.272708792615325e-05,-76.92085041552755
2015-09,3,0.00022351872095309998,-85.83729818494191
2015-09,4,0.0004934010293683854,-1801.2333441137107
2015-09,5,0.0002372800097304468,-3060.949863715835
2015-09,6,0.00016556402385633356,-3724.3628027282493
2015-09,7,0.0003126978100132143,-4206.109791128349
2015-09,8,0.0005005295242147892,-4397.8311834868955
